2020-01-01 08:01:00,math, 1.53
2020-01-01 08:01:00,memory, 14
2020-01-02 08:01:00,math, 0.9
2020-01-02 08:01:00,memory, 19
2020-01-03 08:01:00,math, 3.66
2020-01-03 08:01:00,memory, 11
2020-01-04 08:01:00,math, 2.64
2020-01-04 08:01:00,memory, 10
2020-01-05 08:01:00,math, 1.42
2020-01-05 08:01:00,memory, 13
2020-01-06 08:01:00,math, 1.25
2020-01-06 08:01:00,memory, 20
2020-01-07 08:01:00,math, 3.51
2020-01-07 08:01:00,memory, 25
2020-01-08 08:01:00,math, 1.88
2020-01-08 08:01:00,memory, 20
2020-01-09 08:01:00,math, 1.97
2020-01-09 08:01:00,memory, 18
2020-01-10 08:01:00,math, 1.67
2020-01-10 08:01:00,memory, 25
2020-01-11 08:01:00,math, 3.9
2020-01-11 08:01:00,memory, 24
2020-01-12 08:01:00,math, 3.15
2020-01-12 08:01:00,memory, 19
2020-01-13 08:01:00,math, 1.15
2020-01-13 08:01:00,memory, 30
2020-01-14 08:01:00,math, 0.35
2020-01-14 08:01:00,memory, 22
2020-01-15 08:01:00,math, 3.74
2020-01-15 08:01:00,memory, 19
2020-01-16 08:01:00,math, 1.43
2020-01-16 08:01:00,memory, 20
2020-01-17 08:01:00,math, 2.22
2020-01-17 08:01:00,memory, 13
2020-01-18 08:01:00,math, 1.94
2020-01-18 08:01:00,memory, 29
2020-01-19 08:01:00,math, 2.83
2020-01-19 08:01:00,memory, 26
2020-01-20 08:01:00,math, 1.46
2020-01-20 08:01:00,memory, 24
2020-01-21 08:01:00,math, 1.15
2020-01-21 08:01:00,memory, 29
2020-01-22 08:01:00,math, 1.04
2020-01-22 08:01:00,memory, 21
2020-01-23 08:01:00,math, 2.48
2020-01-23 08:01:00,memory, 26
2020-01-24 08:01:00,math, 0.34
2020-01-24 08:01:00,memory, 21
2020-01-25 08:01:00,math, 3.46
2020-01-25 08:01:00,memory, 29
2020-01-26 08:01:00,math, 1.73
2020-01-26 08:01:00,memory, 21
2020-01-27 08:01:00,math, 2.97
2020-01-27 08:01:00,memory, 12
2020-01-28 08:01:00,math, 3.47
2020-01-28 08:01:00,memory, 9
2020-01-29 08:01:00,math, 1.58
2020-01-29 08:01:00,memory, 26
2020-01-30 08:01:00,math, 3.95
2020-01-30 08:01:00,memory, 24
2020-01-31 08:01:00,math, 1.59
2020-01-31 08:01:00,memory, 8
2020-02-01 08:01:00,math, 0.25
2020-02-01 08:01:00,memory, 15
2020-02-02 08:01:00,math, 3.9
2020-02-02 08:01:00,memory, 12
2020-02-03 08:01:00,math, 1.51
2020-02-03 08:01:00,memory, 12
2020-02-04 08:01:00,math, 0.14
2020-02-04 08:01:00,memory, 28
2020-02-05 08:01:00,math, 3.9
2020-02-05 08:01:00,memory, 13
2020-02-06 08:01:00,math, 3.78
2020-02-06 08:01:00,memory, 11
2020-02-07 08:01:00,math, 3.87
2020-02-07 08:01:00,memory, 19
2020-02-08 08:01:00,math, 4.0
2020-02-08 08:01:00,memory, 25
2020-02-09 08:01:00,math, 0.21
2020-02-09 08:01:00,memory, 21
2020-02-10 08:01:00,math, 0.96
2020-02-10 08:01:00,memory, 14
2020-02-11 08:01:00,math, 2.12
2020-02-11 08:01:00,memory, 16
2020-02-12 08:01:00,math, 1.48
2020-02-12 08:01:00,memory, 18
2020-02-13 08:01:00,math, 1.68
2020-02-13 08:01:00,memory, 13
2020-02-14 08:01:00,math, 2.33
2020-02-14 08:01:00,memory, 24
2020-02-15 08:01:00,math, 2.06
2020-02-15 08:01:00,memory, 28
2020-02-16 08:01:00,math, 1.74
2020-02-16 08:01:00,memory, 25
2020-02-17 08:01:00,math, 3.27
2020-02-17 08:01:00,memory, 19
2020-02-18 08:01:00,math, 3.36
2020-02-18 08:01:00,memory, 13
2020-02-19 08:01:00,math, 1.86
2020-02-19 08:01:00,memory, 9
2020-02-20 08:01:00,math, 0.18
2020-02-20 08:01:00,memory, 8
2020-02-21 08:01:00,math, 0.66
2020-02-21 08:01:00,memory, 18
2020-02-22 08:01:00,math, 1.11
2020-02-22 08:01:00,memory, 15
2020-02-23 08:01:00,math, 3.68
2020-02-23 08:01:00,memory, 13
2020-02-24 08:01:00,math, 2.29
2020-02-24 08:01:00,memory, 19
2020-02-25 08:01:00,math, 1.43
2020-02-25 08:01:00,memory, 27
2020-02-26 08:01:00,math, 0.3
2020-02-26 08:01:00,memory, 10
2020-02-27 08:01:00,math, 3.17
2020-02-27 08:01:00,memory, 21
2020-02-28 08:01:00,math, 1.76
2020-02-28 08:01:00,memory, 23
2020-02-29 08:01:00,math, 3.14
2020-02-29 08:01:00,memory, 13
2020-03-01 08:01:00,math, 2.57
2020-03-01 08:01:00,memory, 15
2020-03-02 08:01:00,math, 0.51
2020-03-02 08:01:00,memory, 17
2020-03-03 08:01:00,math, 3.81
2020-03-03 08:01:00,memory, 15
2020-03-04 08:01:00,math, 1.78
2020-03-04 08:01:00,memory, 23
2020-03-05 08:01:00,math, 1.62
2020-03-05 08:01:00,memory, 19
2020-03-06 08:01:00,math, 2.95
2020-03-06 08:01:00,memory, 27
2020-03-07 08:01:00,math, 2.79
2020-03-07 08:01:00,memory, 9
2020-03-08 08:01:00,math, 3.87
2020-03-08 08:01:00,memory, 14
2020-03-09 08:01:00,math, 0.8
2020-03-09 08:01:00,memory, 25
2020-03-10 08:01:00,math, 1.02
2020-03-10 08:01:00,memory, 12
2020-03-11 08:01:00,math, 3.68
2020-03-11 08:01:00,memory, 11
2020-03-12 08:01:00,math, 3.58
2020-03-12 08:01:00,memory, 9
2020-03-13 08:01:00,math, 0.72
2020-03-13 08:01:00,memory, 17
