Date,Yawns,Sleeps,Yawns_increase,Sleeps_increase
2023-01-10 08:00:00,0,0,False,False
2023-01-10 08:00:30,0,0,False,False
2023-01-10 08:01:00,0,0,False,False
2023-01-10 08:01:30,0,0,False,False
2023-01-10 08:02:00,0,0,False,False
2023-01-10 08:02:30,0,0,False,False
2023-01-10 08:03:00,0,0,False,False
2023-01-10 08:03:30,0,0,False,False
2023-01-10 08:04:00,0,0,False,False
2023-01-10 08:04:30,0,0,False,False
2023-01-10 08:05:00,0,0,False,False
2023-01-10 08:05:30,0,0,False,False
2023-01-10 08:06:00,0,0,False,False
2023-01-10 08:06:30,0,0,False,False
2023-01-10 08:07:00,0,0,False,False
2023-01-10 08:07:30,0,0,False,False
2023-01-10 08:08:00,0,0,False,False
2023-01-10 08:08:30,0,0,False,False
2023-01-10 08:09:00,0,0,False,False
2023-01-10 08:09:30,0,0,False,False
2023-01-10 08:10:00,0,0,False,False
2023-01-10 08:10:30,0,0,False,False
2023-01-10 08:11:00,0,0,False,False
2023-01-10 08:11:30,0,0,False,False
2023-01-10 08:12:00,0,0,False,False
2023-01-10 08:12:30,0,0,False,False
2023-01-10 08:13:00,0,0,False,False
2023-01-10 08:13:30,0,0,False,False
2023-01-10 08:14:00,0,0,False,False
2023-01-10 08:14:30,0,0,False,False
2023-01-10 08:15:00,0,0,False,False
2023-01-10 08:15:30,0,0,False,False
2023-01-10 08:16:00,0,0,False,False
2023-01-10 08:16:30,0,0,False,False
2023-01-10 08:17:00,0,0,False,False
2023-01-10 08:17:30,0,0,False,False
2023-01-10 08:18:00,0,0,False,False
2023-01-10 08:18:30,0,0,False,False
2023-01-10 08:19:00,0,1,False,True
2023-01-10 08:19:30,0,1,False,False
2023-01-10 08:20:00,0,1,False,False
2023-01-10 08:20:30,0,1,False,False
2023-01-10 08:21:00,0,1,False,False
2023-01-10 08:21:30,0,1,False,False
2023-01-10 08:22:00,0,1,False,False
2023-01-10 08:22:30,0,1,False,False
2023-01-10 08:23:00,0,1,False,False
2023-01-10 08:23:30,0,1,False,False
2023-01-10 08:24:00,0,1,False,False
2023-01-10 08:24:30,0,1,False,False
2023-01-10 08:25:00,0,1,False,False
2023-01-10 08:25:30,0,1,False,False
2023-01-10 08:26:00,0,1,False,False
2023-01-10 08:26:30,0,1,False,False
2023-01-10 08:27:00,0,1,False,False
2023-01-10 08:27:30,0,1,False,False
2023-01-10 08:28:00,0,1,False,False
2023-01-10 08:28:30,0,1,False,False
2023-01-10 08:29:00,0,1,False,False
2023-01-10 08:29:30,0,1,False,False
2023-01-10 08:30:00,0,1,False,False
2023-01-10 08:30:30,0,2,False,True
2023-01-10 08:31:00,0,2,False,False
2023-01-10 08:31:30,0,3,False,True
2023-01-10 08:32:00,0,3,False,False
2023-01-10 08:32:30,0,3,False,False
2023-01-10 08:33:00,0,3,False,False
2023-01-10 08:33:30,0,3,False,False
2023-01-10 08:34:00,0,3,False,False
2023-01-10 08:34:30,0,3,False,False
2023-01-10 08:35:00,1,3,True,False
2023-01-10 08:35:30,1,3,False,False
2023-01-10 08:36:00,1,3,False,False
2023-01-10 08:36:30,1,3,False,False
2023-01-10 08:37:00,1,3,False,False
2023-01-10 08:37:30,1,3,False,False
2023-01-10 08:38:00,1,3,False,False
2023-01-10 08:38:30,1,3,False,False
2023-01-10 08:39:00,1,3,False,False
2023-01-10 08:39:30,1,3,False,False
2023-01-10 08:40:00,1,3,False,False
2023-01-10 08:40:30,1,3,False,False
2023-01-10 08:41:00,1,3,False,False
2023-01-10 08:41:30,1,3,False,False
2023-01-10 08:42:00,1,3,False,False
2023-01-10 08:42:30,1,3,False,False
2023-01-10 08:43:00,1,4,False,True
2023-01-10 08:43:30,1,4,False,False
2023-01-10 08:44:00,1,4,False,False
2023-01-10 08:44:30,1,4,False,False
2023-01-10 08:45:00,1,4,False,False
2023-01-10 08:45:30,1,4,False,False
2023-01-10 08:46:00,1,4,False,False
2023-01-10 08:46:30,1,4,False,False
2023-01-10 08:47:00,1,4,False,False
2023-01-10 08:47:30,1,4,False,False
2023-01-10 08:48:00,1,4,False,False
2023-01-10 08:48:30,1,4,False,False
2023-01-10 08:49:00,1,4,False,False
2023-01-10 08:49:30,1,4,False,False
2023-01-10 08:50:00,1,4,False,False
2023-01-10 08:50:30,1,4,False,False
2023-01-10 08:51:00,1,4,False,False
2023-01-10 08:51:30,1,5,False,True
2023-01-10 08:52:00,1,5,False,False
2023-01-10 08:52:30,1,5,False,False
2023-01-10 08:53:00,1,5,False,False
2023-01-10 08:53:30,1,5,False,False
2023-01-10 08:54:00,1,5,False,False
2023-01-10 08:54:30,1,5,False,False
2023-01-10 08:55:00,1,5,False,False
2023-01-10 08:55:30,1,5,False,False
2023-01-10 08:56:00,1,5,False,False
2023-01-10 08:56:30,1,6,False,True
2023-01-10 08:57:00,1,6,False,False
2023-01-10 08:57:30,1,6,False,False
2023-01-10 08:58:00,1,6,False,False
2023-01-10 08:58:30,1,6,False,False
2023-01-10 08:59:00,1,6,False,False
2023-01-10 08:59:30,1,6,False,False
2023-01-10 09:00:00,1,6,False,False
2023-01-10 09:00:30,1,6,False,False
2023-01-10 09:01:00,1,6,False,False
2023-01-10 09:01:30,1,6,False,False
2023-01-10 09:02:00,1,6,False,False
2023-01-10 09:02:30,1,6,False,False
2023-01-10 09:03:00,1,7,False,True
2023-01-10 09:03:30,1,7,False,False
2023-01-10 09:04:00,1,7,False,False
2023-01-10 09:04:30,1,7,False,False
2023-01-10 09:05:00,1,7,False,False
2023-01-10 09:05:30,1,7,False,False
2023-01-10 09:06:00,1,8,False,True
2023-01-10 09:06:30,1,8,False,False
2023-01-10 09:07:00,1,8,False,False
2023-01-10 09:07:30,1,8,False,False
